"airport","display_airport_name","display_city_market_name_full","airport_country_name","latitude","longitude","utc_local_time_variation","airport_is_latest"
"IMT","Ford","Iron Mountain/Kingsfd, MI","United States","45.81833333","-88.11444444","-0600","1"
"IND","Indianapolis International","Indianapolis, IN","United States","39.71722222","-86.29472222","-0500","1"
"INL","Falls International Einarson Field","International Falls, MN","United States","48.56555556","-93.40222222","-0600","1"
"ISP","Long Island MacArthur","New York City, NY (Metropolitan Area)","United States","40.79611111","-73.10055556","-0500","1"
"ITH","Ithaca Tompkins International","Ithaca/Cortland, NY","United States","42.49138889","-76.45861111","-0500","1"
"ITO","Hilo International","Hilo, HI","United States","19.72138889","-155.05444444","-1000","1"
"JAC","Jackson Hole","Jackson, WY","United States","43.60722222","-110.73777778","-0700","1"
"JAN","Jackson Medgar Wiley Evers International","Jackson/Vicksburg, MS","United States","32.31111111","-90.07583333","-0600","1"
"JAX","Jacksonville International","Jacksonville, FL","United States","30.49472222","-81.70444444","-0500","1"
"JFK","John F. Kennedy International","New York City, NY (Metropolitan Area)","United States","40.64000000","-73.77861111","-0500","1"
"JLN","Joplin Regional","Joplin, MO","United States","37.14972222","-94.49805556","-0600","1"
"JMS","Jamestown Regional","Jamestown, ND","United States","46.92972222","-98.67805556","-0600","1"
"JNU","Juneau International","Juneau, AK","United States","58.35472222","-134.57833333","-0900","1"
"JST","John Murtha Johnstown-Cambria County","Johnstown, PA","United States","40.31527778","-78.83416667","-0500","1"
"KOA","Ellison Onizuka Kona International at Keahole","Kona, HI","United States","19.73333333","-156.04611111","-1000","1"
"KTN","Ketchikan International","Ketchikan, AK","United States","55.35416667","-131.71111111","-0900","1"
"LAF","Purdue University","Lafayette, IN","United States","40.41222222","-86.93694444","-0500","1"
"LAN","Capital Region International","Lansing, MI","United States","42.77861111","-84.58611111","-0500","1"
"LAR","Laramie Regional","Laramie, WY","United States","41.31333333","-105.67277778","-0700","1"
"LAS","Harry Reid International","Las Vegas, NV","United States","36.08000000","-115.15222222","-0800","1"
"LAW","Lawton-Fort Sill Regional","Lawton/Fort Sill, OK","United States","34.56666667","-98.41638889","-0600","1"
"LAX","Los Angeles International","Los Angeles, CA (Metropolitan Area)","United States","33.94305556","-118.40888889","-0800","1"
"LBB","Lubbock Preston Smith International","Lubbock, TX","United States","33.66166667","-101.81861111","-0600","1"
"LBE","Arnold Palmer Regional","Latrobe, PA","United States","40.27305556","-79.41027778","-0500","1"
"LBF","North Platte Regional Airport Lee Bird Field","North Platte, NE","United States","41.12611111","-100.68361111","-0600","1"
"LBL","Liberal Mid-America Regional","Liberal, KS","United States","37.05055556","-100.95638889","-0600","1"
"LCH","Lake Charles Regional","Lake Charles, LA","United States","30.12611111","-93.22333333","-0600","1"
"LCK","Rickenbacker International","Columbus, OH","United States","39.81388889","-82.92777778","-0500","1"
"LEX","Blue Grass","Lexington, KY","United States","38.03666667","-84.60861111","-0500","1"
"LFT","Lafayette Regional Paul Fournet Field","Lafayette, LA","United States","30.20388889","-91.98638889","-0600","1"
"LGA","LaGuardia","New York City, NY (Metropolitan Area)","United States","40.77722222","-73.87250000","-0500","1"
"LGB","Long Beach Airport","Los Angeles, CA (Metropolitan Area)","United States","33.81805556","-118.15194444","-0800","1"
"LIH","Lihue Airport","Lihue, HI","United States","21.98500000","-159.33611111","-1000","1"
"LIT","Bill and Hillary Clinton Nat Adams Field","Little Rock, AR","United States","34.72944444","-92.22472222","-0600","1"
"LNK","Lincoln Airport","Lincoln, NE","United States","40.85194444","-96.75583333","-0600","1"
"LRD","Laredo International","Laredo, TX","United States","27.54416667","-99.46166667","-0600","1"
"LSE","La Crosse Regional","La Crosse, WI","United States","43.87888889","-91.25611111","-0600","1"
"LWS","Lewiston Nez Perce County","Lewiston, ID","United States","46.37166667","-117.00694444","-0800","1"
"MAF","Midland International Air and Space Port","Midland/Odessa, TX","United States","31.94250000","-102.20194444","-0600","1"
"MBS","MBS International","Saginaw/Bay City/Midland, MI","United States","43.53305556","-84.07972222","-0500","1"
"MCI","Kansas City International","Kansas City, MO","United States","39.29722222","-94.71333333","-0600","1"
"MCO","Orlando International","Orlando, FL","United States","28.42916667","-81.30666667","-0500","1"
"MCW","Mason City Municipal","Mason City, IA","United States","43.15777778","-93.33111111","-0600","1"
"MDT","Harrisburg International","Harrisburg, PA","United States","40.19305556","-76.76250000","-0500","1"
"MDW","Chicago Midway International","Chicago, IL","United States","41.78583333","-87.75250000","-0600","1"
"MEI","Key Field","Meridian, MS","United States","32.33000000","-88.75416667","-0600","1"
"MEM","Memphis International","Memphis, TN","United States","35.04277778","-89.97666667","-0600","1"
"MFE","McAllen International","Mission/McAllen/Edinburg, TX","United States","26.17583333","-98.23861111","-0600","1"
"MFR","Rogue Valley International - Medford","Medford, OR","United States","42.37500000","-122.87333333","-0800","1"
"MGM","Montgomery Regional","Montgomery, AL","United States","32.30055556","-86.39000000","-0600","1"
"MGW","Morgantown Municipal Walter L Bill Hart Field","Morgantown, WV","United States","39.64361111","-79.91750000","-0500","1"
"MHK","Manhattan Regional","Manhattan/Ft. Riley, KS","United States","39.14222222","-96.66888889","-0600","1"
"MHT","Manchester Boston Regional","Boston, MA (Metropolitan Area)","United States","42.93277778","-71.43583333","-0500","1"
"MIA","Miami International","Miami, FL (Metropolitan Area)","United States","25.79611111","-80.28972222","-0500","1"
"MKE","General Mitchell International","Milwaukee, WI","United States","42.94694444","-87.89694444","-0600","1"
"MLB","Melbourne Orlando International","Melbourne, FL","United States","28.10222222","-80.64333333","-0500","1"
"MLI","Quad Cities International","Quad Cities, IL (Metropolitan Area)","United States","41.44750000","-90.50805556","-0600","1"
"MLU","Monroe Regional","Monroe, LA","United States","32.51138889","-92.03666667","-0600","1"
"MOB","Mobile Regional","Mobile, AL","United States","30.69138889","-88.24277778","-0600","1"
"MOT","Minot International","Minot, ND","United States","48.25777778","-101.27805556","-0600","1"
"MQT","Marquette Sawyer Regional","Marquette, MI","United States","46.34916667","-87.39638889","-0500","1"
"MRY","Monterey Regional","Salinas/Monterey, CA","United States","36.58694444","-121.84194444","-0800","1"
"MSN","Dane County Regional-Truax Field","Madison, WI","United States","43.14000000","-89.33750000","-0600","1"
"MSO","Missoula Montana","Missoula, MT","United States","46.91611111","-114.09138889","-0700","1"
"MSP","Minneapolis-St Paul International","Minneapolis/St. Paul, MN","United States","44.88194444","-93.22166667","-0600","1"
"MSY","Louis Armstrong New Orleans International","New Orleans, LA","United States","29.98888889","-90.25000000","-0600","1"
"MTJ","Montrose Regional","Montrose/Delta, CO","United States","38.50888889","-107.89444444","-0700","1"
"MVY","Martha's Vineyard Airport","Martha's Vineyard, MA","United States","41.39305556","-70.61222222","-0500","1"
"MYR","Myrtle Beach International","Myrtle Beach, SC","United States","33.67972222","-78.92833333","-0500","1"
"OAJ","Albert J Ellis","Jacksonville/Camp Lejeune, NC","United States","34.82916667","-77.61222222","-0500","1"
"OAK","Oakland International","San Francisco, CA (Metropolitan Area)","United States","37.72138889","-122.22111111","-0800","1"
"OGG","Kahului Airport","Kahului, HI","United States","20.90277778","-156.42611111","-1000","1"
"OKC","Okc Will Rogers International","Oklahoma City, OK","United States","35.39250000","-97.60222222","-0600","1"
"OMA","Eppley Airfield","Omaha, NE","United States","41.30305556","-95.89388889","-0600","1"
"OME","Nome Airport","Nome, AK","United States","64.51055556","-165.44472222","-0900","1"
"ONT","Ontario International","Los Angeles, CA (Metropolitan Area)","United States","34.05611111","-117.60111111","-0800","1"
"ORD","Chicago O'Hare International","Chicago, IL","United States","41.97694444","-87.90805556","-0600","1"
"ORF","Norfolk International","Norfolk, VA (Metropolitan Area)","United States","36.89472222","-76.20111111","-0500","1"
"ORH","Worcester Regional","Worcester, MA","United States","42.26722222","-71.87555556","-0500","1"
"OTH","Southwest Oregon Regional","North Bend/Coos Bay, OR","United States","43.41694444","-124.24694444","-0800","1"
"OTZ","Ralph Wien Memorial","Kotzebue, AK","United States","66.88916667","-162.60666667","-0900","1"
"OWB","Owensboro Daviess County Regional","Owensboro, KY","United States","37.73972222","-87.16722222","-0600","1"
"PAE","Seattle Paine Field International","Everett, WA","United States","47.90722222","-122.28222222","-0800","1"
"PAH","Barkley Regional","Paducah, KY","United States","37.06111111","-88.77250000","-0600","1"
"PBG","Plattsburgh International","Plattsburgh, NY","United States","44.65083333","-73.46805556","-0500","1"
"PBI","Palm Beach International","West Palm Beach/Palm Beach, FL","United States","26.68305556","-80.09555556","-0500","1"
"PDX","Portland International","Portland, OR","United States","45.58861111","-122.59805556","-0800","1"
"PGD","Punta Gorda Airport","Punta Gorda, FL","United States","26.91861111","-81.99083333","-0500","1"
"PGV","Pitt Greenville","Greenville, NC","United States","35.63555556","-77.38416667","-0500","1"
"PHF","Newport News/Williamsburg International","Norfolk, VA (Metropolitan Area)","United States","37.12638889","-76.49888889","-0500","1"
"PHL","Philadelphia International","Philadelphia, PA","United States","39.87416667","-75.23666667","-0500","1"
"PHX","Phoenix Sky Harbor International","Phoenix, AZ","United States","33.43361111","-112.01194444","-0700","1"
"PIA","General Downing - Peoria International","Peoria, IL","United States","40.65972222","-89.68888889","-0600","1"
"PIB","Hattiesburg-Laurel Regional","Hattiesburg/Laurel, MS","United States","31.46722222","-89.33694444","-0600","1"
"PIE","St Pete Clearwater International","Tampa, FL (Metropolitan Area)","United States","27.90861111","-82.68638889","-0500","1"
"PIH","Pocatello Regional","Pocatello, ID","United States","42.89861111","-112.60500000","-0700","1"
"PIR","Pierre Regional","Pierre, SD","United States","44.38638889","-100.29583333","-0600","1"
"PIT","Pittsburgh International","Pittsburgh, PA","United States","40.49138889","-80.23277778","-0500","1"
"PLN","Pellston Regional Emmet County","Pellston, MI","United States","45.57083333","-84.79666667","-0500","1"
"PNS","Pensacola International","Pensacola, FL","United States","30.47277778","-87.18805556","-0600","1"
"PPG","Pago Pago International","Pago Pago, TT","United States","-14.33166667","-170.71138889","-1100","1"
"PQI","Presque Isle International","Presque Isle/Houlton, ME","United States","46.68500000","-68.04694444","-0500","1"
"PRC","Prescott Regional Ernest A Love Field","Prescott, AZ","United States","34.65472222","-112.41916667","-0700","1"
"PSC","Tri Cities","Pasco/Kennewick/Richland, WA","United States","46.26472222","-119.11888889","-0800","1"
"PSE","Mercedita","Ponce, PR","United States","18.00888889","-66.56444444","-0400","1"
"PSG","Petersburg James A Johnson","Petersburg, AK","United States","56.80138889","-132.94611111","-0900","1"
"PSM","Portsmouth International at Pease","Portsmouth, NH","United States","43.07805556","-70.82333333","-0500","1"
"PSP","Palm Springs International","Palm Springs, CA","United States","33.82972222","-116.50666667","-0800","1"
"PUB","Pueblo Memorial","Pueblo, CO","United States","38.29000000","-104.49805556","-0700","1"
"PUW","Pullman Moscow Regional","Pullman, WA","United States","46.74166667","-117.11166667","-0800","1"
"PVD","Rhode Island Tf Green International","Boston, MA (Metropolitan Area)","United States","41.72222222","-71.42777778","-0500","1"
"PVU","Provo Municipal","Provo, UT","United States","40.21888889","-111.72250000","-0700","1"
"PWM","Portland International Jetport","Portland, ME","United States","43.64555556","-70.30861111","-0500","1"
"RAP","Rapid City Regional","Rapid City, SD","United States","44.04888889","-103.06138889","-0700","1"
"RDD","Redding Regional","Redding, CA","United States","40.50972222","-122.29500000","-0800","1"
"RDM","Roberts Field","Bend/Redmond, OR","United States","44.25416667","-121.15055556","-0800","1"
"RDU","Raleigh-Durham International","Raleigh/Durham, NC","United States","35.87583333","-78.78555556","-0500","1"
"RFD","Chicago/Rockford International","Rockford, IL","United States","42.19527778","-89.09722222","-0600","1"
"RHI","Rhinelander/Oneida County","Rhinelander, WI","United States","45.63083333","-89.46666667","-0600","1"
"RIC","Richmond International","Richmond, VA","United States","37.51722222","-77.32416667","-0500","1"
"RIW","Central Wyoming Regional","Riverton/Lander, WY","United States","43.06555556","-108.46055556","-0700","1"
"RKS","Southwest Wyoming Regional","Rock Springs, WY","United States","41.59416667","-109.06527778","-0700","1"
"RNO","Reno/Tahoe International","Reno, NV","United States","39.49916667","-119.76805556","-0800","1"
"ROA","Roanoke Blacksburg Regional","Roanoke, VA","United States","37.32583333","-79.97861111","-0500","1"
"ROC","Frederick Douglass Grtr Rochester International","Rochester, NY","United States","43.11916667","-77.67194444","-0500","1"
"ROW","Roswell Air Center","Roswell, NM","United States","33.30000000","-104.52944444","-0700","1"
"RST","Rochester International","Rochester, MN","United States","43.91000000","-92.49666667","-0600","1"
"RSW","Southwest Florida International","Fort Myers, FL","United States","26.53611111","-81.75527778","-0500","1"
"SAF","Santa Fe Regional","Santa Fe, NM","United States","35.61666667","-106.08916667","-0700","1"
"SAN","San Diego International","San Diego, CA","United States","32.73361111","-117.18972222","-0800","1"
"SAT","San Antonio International","San Antonio, TX","United States","29.53416667","-98.46944444","-0600","1"
"SAV","Savannah/Hilton Head International","Savannah, GA","United States","32.12861111","-81.20000000","-0500","1"
"SBA","Santa Barbara Municipal","Santa Barbara, CA","United States","34.42583333","-119.84111111","-0800","1"
"SBN","South Bend International","South Bend, IN","United States","41.70833333","-86.31722222","-0500","1"
"SBP","San Luis Obispo County Regional","Paso Robles/San Luis Obispo, CA","United States","35.23694444","-120.64027778","-0800","1"
"SCC","Deadhorse Airport","Deadhorse, AK","United States","70.19472222","-148.46527778","-0900","1"
"SCE","State College Regional","Philipsburg/State College, PA","United States","40.85000000","-77.84750000","-0500","1"
"SCK","Stockton Metro","Stockton, CA","United States","37.89472222","-121.24000000","-0800","1"
"SDF","Louisville Muhammad Ali International","Louisville, KY","United States","38.17416667","-85.73638889","-0500","1"
"SEA","Seattle/Tacoma International","Seattle, WA","United States","47.45000000","-122.31166667","-0800","1"
"SFB","Orlando Sanford International","Sanford, FL","United States","28.77638889","-81.23444444","-0500","1"
"SFO","San Francisco International","San Francisco, CA (Metropolitan Area)","United States","37.61888889","-122.37555556","-0800","1"
"SGF","Springfield-Branson National","Springfield, MO","United States","37.24555556","-93.38861111","-0600","1"
"SGU","St George Regional","St. George, UT","United States","37.03638889","-113.51027778","-0700","1"
"SHR","Sheridan County","Sheridan, WY","United States","44.77166667","-106.98444444","-0700","1"
"SHV","Shreveport Regional","Shreveport, LA","United States","32.44694444","-93.82861111","-0600","1"
"SIT","Sitka Rocky Gutierrez","Sitka, AK","United States","57.04694444","-135.36111111","-0900","1"
"SJC","Norman Y. Mineta San Jose International","San Francisco, CA (Metropolitan Area)","United States","37.36305556","-121.92861111","-0800","1"
"SJT","San Angelo Regional/Mathis Field","San Angelo, TX","United States","31.35777778","-100.49638889","-0600","1"
"SJU","Luis Munoz Marin International","San Juan, PR","United States","18.43944444","-66.00222222","-0400","1"
"SLC","Salt Lake City International","Salt Lake City, UT","United States","40.78833333","-111.97777778","-0700","1"
"SLN","Salina Regional","Salina, KS","United States","38.78972222","-97.65444444","-0600","1"
"SMF","Sacramento International","Sacramento, CA","United States","38.69555556","-121.59083333","-0800","1"
"SMX","Santa Maria Public/Capt. G. Allan Hancock Field","Santa Maria, CA","United States","34.90361111","-120.45888889","-0800","1"
"SNA","John Wayne Airport-Orange County","Los Angeles, CA (Metropolitan Area)","United States","33.67611111","-117.86777778","-0800","1"
"SPI","Abraham Lincoln Capital","Springfield, IL","United States","39.84416667","-89.67833333","-0600","1"
"SPN","Francisco C. Ada Saipan International","Saipan, TT","United States","15.12027778","145.73000000","+1000","1"
"SPS","Sheppard AFB/Wichita Falls Municipal","Wichita Falls, TX","United States","33.98888889","-98.49194444","-0600","1"
"SRQ","Sarasota/Bradenton International","Sarasota/Bradenton, FL","United States","27.39555556","-82.55444444","-0500","1"
"STC","St. Cloud Regional","St. Cloud, MN","United States","45.54611111","-94.05861111","-0600","1"
"STL","St Louis Lambert International","St. Louis, MO","United States","38.74861111","-90.37000000","-0600","1"
"STS","Charles M. Schulz - Sonoma County","Santa Rosa, CA","United States","38.50972222","-122.81305556","-0800","1"
"STT","Cyril E King","Charlotte Amalie, VI","United States","18.33722222","-64.97333333","-0400","1"
"STX","Henry E. Rohlsen","Christiansted, VI","United States","17.70166667","-64.80194444","-0400","1"
"SUN","Friedman Memorial","Sun Valley/Hailey/Ketchum, ID","United States","43.50388889","-114.29555556","-0700","1"
"SUX","Sioux Gateway Brig Gen Bud Day Field","Sioux City, IA","United States","42.40138889","-96.38444444","-0600","1"
"SWF","New York Stewart International","New York City, NY (Metropolitan Area)","United States","41.50416667","-74.10472222","-0500","1"
"SWO","Stillwater Regional","Stillwater, OK","United States","36.15861111","-97.08666667","-0600","1"
"SYR","Syracuse Hancock International","Syracuse, NY","United States","43.11111111","-76.10638889","-0500","1"
"TLH","Tallahassee International","Tallahassee, FL","United States","30.39666667","-84.35083333","-0500","1"
"TOL","Eugene F Kranz Toledo Express","Toledo, OH","United States","41.59083333","-83.80083333","-0500","1"
"TPA","Tampa International","Tampa, FL (Metropolitan Area)","United States","27.97555556","-82.53333333","-0500","1"
"TRI","Tri Cities","Bristol/Johnson City/Kingsport, TN","United States","36.47527778","-82.40750000","-0500","1"
"TTN","Trenton Mercer","Trenton, NJ","United States","40.27666667","-74.81333333","-0500","1"
"TUL","Tulsa International","Tulsa, OK","United States","36.19833333","-95.88944444","-0600","1"
"TUS","Tucson International","Tucson, AZ","United States","32.12500000","-110.94972222","-0700","1"
"TVC","Cherry Capital","Traverse City, MI","United States","44.74166667","-85.58194444","-0500","1"
"TWF","Joslin Field - Magic Valley Regional","Twin Falls, ID","United States","42.48083333","-114.48555556","-0700","1"
"TXK","Texarkana Regional-Webb Field","Texarkana, AR","United States","33.45638889","-93.98916667","-0600","1"
"TYR","Tyler Pounds Regional","Tyler, TX","United States","32.35388889","-95.40277778","-0600","1"
"TYS","McGhee Tyson","Knoxville, TN","United States","35.81111111","-83.99416667","-0500","1"
"USA","Concord Padgett Regional","Concord, NC","United States","35.38777778","-80.70916667","-0500","1"
"VCT","Victoria Regional","Victoria, TX","United States","28.85416667","-96.91861111","-0600","1"
"VEL","Vernal Regional","Vernal, UT","United States","40.43611111","-109.51138889","-0700","1"
"VLD","Valdosta Regional","Valdosta, GA","United States","30.79000000","-83.27500000","-0500","1"
"VPS","Eglin AFB Destin Fort Walton Beach","Valparaiso, FL","United States","30.48333333","-86.52611111","-0600","1"
"WRG","Wrangell Airport","Wrangell, AK","United States","56.48444444","-132.36972222","-0900","1"
"WYS","Yellowstone","West Yellowstone, MT","United States","44.68833333","-111.11777778","-0700","1"
"XNA","Northwest Arkansas National","Fayetteville, AR","United States","36.28166667","-94.30777778","-0600","1"
"XWA","Williston Basin International","Williston, ND","United States","48.25972222","-103.75055556","-0600","1"
"YAK","Yakutat Airport","Yakutat, AK","United States","59.50888889","-139.65972222","-0900","1"
"YKM","Yakima Air Terminal/McAllister Field","Yakima, WA","United States","46.56805556","-120.54416667","-0800","1"
"YUM","Yuma MCAS/Yuma International","Yuma, AZ","United States","32.65666667","-114.60611111","-0700","1"
